STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       3289;1973022814;    1;    1.1;  68.0;eor
       3289;1973022821;    1;   -1.5;  84.0;eor
       3289;1973030107;    1;   -0.1;  87.0;eor
       3289;1973030114;    1;    2.7;  75.0;eor
       3289;1973030121;    1;    1.9;  75.0;eor
       3289;1973030207;    1;   -0.9;  87.0;eor
       3289;1973030214;    1;    1.7;  87.0;eor
       3289;1973030221;    1;    1.7;  95.0;eor
       3289;1973030307;    1;    0.7;  83.0;eor
       3289;1973030314;    1;    2.3;  83.0;eor
       3289;1973030321;    1;    1.5;  98.0;eor
       3289;1973030407;    1;    1.7; 100.0;eor
       3289;1973030414;    1;    5.7;  94.0;eor
       3289;1973030421;    1;    4.1;  90.0;eor
       3289;1973030507;    1;    0.9;  95.0;eor
       3289;1973030514;    1;   10.2;  58.0;eor
       3289;1973030521;    1;    3.1;  84.0;eor
       3289;1973030607;    1;    3.9;  75.0;eor
       3289;1973030614;    1;    4.9;  81.0;eor
       3289;1973030621;    1;   -0.3;  94.0;eor
       3289;1973030707;    1;   -1.3;  98.0;eor
       3289;1973030714;    1;    6.8;  56.0;eor
       3289;1973030721;    1;   -0.5;  98.0;eor
       3289;1973030807;    1;   -1.9;  90.0;eor
       3289;1973030814;    1;    0.3;  98.0;eor
       3289;1973030821;    1;    2.9;  97.0;eor
       3289;1973030907;    1;   -0.1;  95.0;eor
       3289;1973030914;    1;    2.0;  63.0;eor
       3289;1973030921;    1;   -0.6;  91.0;eor
       3289;1973031007;    1;   -1.9;  98.0;eor
       3289;1973031014;    1;    2.6;  56.0;eor
       3289;1973031021;    1;   -3.5;  94.0;eor
       3289;1973031107;    1;   -2.7;  86.0;eor
       3289;1973031114;    1;    5.4;  61.0;eor
       3289;1973031121;    1;    1.1;  97.0;eor
       3289;1973031207;    1;   -1.1;  91.0;eor
       3289;1973031214;    1;   -0.2;  84.0;eor
       3289;1973031221;    1;   -0.1;  93.0;eor
       3289;1973031307;    1;   -1.3;  94.0;eor
       3289;1973031314;    1;    0.3;  75.0;eor
       3289;1973031321;    1;   -1.9;  96.0;eor
       3289;1973031407;    1;   -3.4; 100.0;eor
       3289;1973031414;    1;    4.2;  57.0;eor
       3289;1973031421;    1;    0.2;  79.0;eor
       3289;1973031507;    1;   -3.1; 100.0;eor
       3289;1973031514;    1;    3.6;  67.0;eor
       3289;1973031521;    1;    0.5;  95.0;eor
       3289;1973031607;    1;   -1.1; 100.0;eor
       3289;1973031614;    1;    4.7;  53.0;eor
       3289;1973031621;    1;   -2.5;  94.0;eor
       3289;1973031707;    1;   -3.9;  98.0;eor
       3289;1973031714;    1;    5.3;  71.0;eor
       3289;1973031721;    1;    3.3;  89.0;eor
       3289;1973031807;    1;    3.7;  89.0;eor
       3289;1973031814;    1;    5.5;  82.0;eor
       3289;1973031821;    1;    3.3;  74.0;eor
       3289;1973031907;    1;    0.1;  95.0;eor
       3289;1973031914;    1;    3.1;  89.0;eor
       3289;1973031921;    1;   -0.1;  87.0;eor
       3289;1973032007;    1;   -0.1;  91.0;eor
       3289;1973032014;    1;    6.0;  70.0;eor
       3289;1973032021;    1;    3.7;  95.0;eor
       3289;1973032107;    1;    2.3;  97.0;eor
       3289;1973032114;    1;    7.0;  59.0;eor
       3289;1973032121;    1;    4.3;  78.0;eor
       3289;1973032207;    1;   -1.1;  98.0;eor
       3289;1973032214;    1;   11.0;  56.0;eor
       3289;1973032221;    1;    1.1;  83.0;eor
       3289;1973032307;    1;   -2.5;  90.0;eor
       3289;1973032314;    1;   16.1;  31.0;eor
       3289;1973032321;    1;    4.1;  78.0;eor
       3289;1973032407;    1;   -0.9;  94.0;eor
       3289;1973032414;    1;   18.3;  23.0;eor
       3289;1973032421;    1;    9.2;  54.0;eor
       3289;1973032507;    1;    3.1;  83.0;eor
